Department,Region,quarter,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,KPi Achieved
Strategic Partnerships,Kalimantan,2017Q4,2468.36,3878.88,0.16,0.38,17,70,NO
Sales Support,Papua,2017Q4,7080.98,6110.86,0.29,0.3,52,284,YES
Retail Sales,Sulawesi,2017Q4,8263.56,4303.93,0.15,0.18,69,320,YES
E-commerce Sales,NTB,2017Q4,10754.6,7572.14,0.13,0.3,131,753,YES
Enterprise Sales,Bali,2017Q4,190.22,2677.56,0.15,0.16,3,8,NO
International Sales,Jawa,2017Q4,7489.8,3247.52,0.2,0.28,57,213,YES
Sales Administration,Sumatra,2017Q4,1000.94,1941.71,0.68,0.5,9,38,NO
Sales Engineering,Kalimantan,2017Q4,1042.91,757.7,0.25,0.47,9,47,YES
Sales Operations,Papua,2017Q4,3232.21,6273.45,0.27,0.17,23,40,NO
Inside Sales,Sulawesi,2017Q4,5560.04,3301.8,0.3,0.22,39,178,YES
Outside Sales,NTB,2017Q4,881.74,2613.48,0.32,0.24,5,20,NO
Account Management,Bali,2017Q4,2441.12,4436.14,0.24,0.21,18,55,NO
Business Development,Jawa,2017Q4,903.63,3087.26,0.23,0.15,8,22,NO
Sales Enablement,Sumatra,2017Q4,1947.5,2480.16,0.26,0.44,14,41,NO
Channel Sales,Kalimantan,2017Q4,1928.1,2503.73,0.26,0.58,17,91,NO
Key Accounts,Papua,2017Q4,8534.38,6445.2,0.44,0.33,68,254,YES
Sales Analytics,Sulawesi,2017Q4,909.56,3577.59,0.24,0.25,9,31,NO
Customer Success,NTB,2017Q4,5615.02,5682.37,0.15,0.29,39,172,NO
Sales Training,Bali,2017Q4,1226.35,5288.03,0.27,0.33,11,40,NO
Strategic Partnerships,Jawa,2017Q4,8690.56,7364.87,0.45,0.36,65,352,YES
Sales Support,Sumatra,2017Q4,7622.28,2442.6,0.16,0.3,63,332,YES
Retail Sales,Kalimantan,2017Q4,4578.83,2729.52,0.1,0.17,39,99,YES
E-commerce Sales,Papua,2017Q4,8080.42,2548.94,0.19,0.25,64,351,YES
Enterprise Sales,Sulawesi,2017Q4,4616.37,2705.18,0.24,0.21,34,187,YES
International Sales,NTB,2017Q4,2637.98,1608.44,0.12,0.23,21,61,YES
Sales Administration,Bali,2017Q4,78.34,1170.72,0.23,0.49,3,12,NO
Sales Engineering,Jawa,2017Q4,2482.7,1436.36,0.67,0.43,18,41,YES
Sales Operations,Sumatra,2017Q4,5901.32,3299.17,0.26,0.18,44,202,YES
Inside Sales,Kalimantan,2017Q4,3968.52,6079.51,0.18,0.22,29,66,NO
Outside Sales,Papua,2017Q4,3022.79,6849.55,0.15,0.22,24,123,NO
Account Management,Sulawesi,2017Q4,5322.3,2010.47,0.2,0.15,41,204,YES
Business Development,NTB,2017Q4,6699.41,4630.68,0.2,0.16,52,163,YES
Sales Enablement,Bali,2017Q4,257.52,1244.39,0.24,0.52,2,5,NO
Channel Sales,Jawa,2017Q4,2632.31,848.19,0.46,0.42,20,83,YES
Key Accounts,Sumatra,2017Q4,7765.19,4329.04,0.32,0.3,59,122,YES
Sales Analytics,Kalimantan,2017Q4,1217.12,2372.07,0.36,0.31,8,35,NO
Customer Success,Papua,2017Q4,5605.24,3714.21,0.14,0.27,42,79,YES
Sales Training,Sulawesi,2017Q4,1541.76,6028.14,0.29,0.27,12,50,NO
Strategic Partnerships,NTB,2017Q4,8519.14,7067.12,0.2,0.27,72,215,YES
Sales Support,Bali,2017Q4,8380.9,3870.4,0.38,0.29,75,188,YES
Retail Sales,Jawa,2017Q4,7471.34,6060.04,0.22,0.19,63,357,YES
E-commerce Sales,Sumatra,2017Q4,1791.13,5215.85,0.32,0.28,11,20,NO
Enterprise Sales,Kalimantan,2017Q4,5725.74,4050.32,0.22,0.14,44,84,YES
International Sales,Papua,2017Q4,4566.24,2041.14,0.34,0.26,38,105,YES
Sales Administration,Sulawesi,2017Q4,2600.5,1461.93,0.45,0.5,21,87,YES
Sales Engineering,NTB,2017Q4,1550.74,1193.27,0.56,0.4,12,68,YES
Sales Operations,Bali,2017Q4,457.46,6705.49,0.24,0.23,2,6,NO
Inside Sales,Jawa,2017Q4,2667.33,3488.49,0.2,0.17,20,105,NO
Outside Sales,Sumatra,2017Q4,7684.99,4612.9,0.3,0.17,66,323,YES
Account Management,Kalimantan,2017Q4,2576.58,2443.9,0.11,0.19,21,63,YES
Business Development,Papua,2017Q4,442.4,3927.74,0.17,0.2,3,12,NO
Sales Enablement,Sulawesi,2017Q4,2313.1,2021.43,0.28,0.52,17,37,YES
Channel Sales,NTB,2017Q4,1870.42,678.97,0.42,0.46,14,62,YES
Key Accounts,Bali,2017Q4,513.82,6801.74,0.39,0.25,2,7,NO
Sales Analytics,Jawa,2017Q4,4757.66,4184.9,0.21,0.28,39,216,YES
Customer Success,Sumatra,2017Q4,3652.19,4916.06,0.31,0.26,29,85,NO
Sales Training,Kalimantan,2017Q4,3634.96,5904.39,0.14,0.38,28,138,NO
Strategic Partnerships,Papua,2017Q4,6601.9,7331.05,0.36,0.3,51,186,NO
Sales Support,Sulawesi,2017Q4,4151.29,5734.74,0.21,0.27,33,75,NO
Retail Sales,NTB,2017Q4,3801.97,4978.38,0.17,0.22,28,83,NO
E-commerce Sales,Bali,2017Q4,2602.67,5396.01,0.29,0.32,21,106,NO
Enterprise Sales,Jawa,2017Q4,3228.48,4717.73,0.14,0.19,26,58,NO
International Sales,Sumatra,2017Q4,7230.44,4089.64,0.35,0.21,63,245,YES
Sales Administration,Kalimantan,2017Q4,1110.07,1953.98,0.41,0.38,6,25,NO
Sales Engineering,Papua,2017Q4,2574.62,1779.13,0.2,0.38,21,67,YES
Sales Operations,Sulawesi,2017Q4,1084.33,5496.34,0.13,0.19,5,18,NO
Inside Sales,NTB,2017Q4,8777.15,4226.66,0.22,0.22,75,162,YES
Outside Sales,Bali,2017Q4,4345.86,6301.35,0.26,0.21,38,206,NO
Account Management,Jawa,2017Q4,1629.49,1360.84,0.14,0.2,11,38,YES
Business Development,Sumatra,2017Q4,5240.36,4627.38,0.18,0.2,41,133,YES
Sales Enablement,Kalimantan,2017Q4,2742.72,2066.83,0.54,0.6,20,51,YES
Channel Sales,Papua,2017Q4,2057.73,1246.82,0.56,0.56,14,63,YES
Key Accounts,Sulawesi,2017Q4,3027.87,6908.11,0.35,0.33,24,137,NO
Sales Analytics,NTB,2017Q4,2742.05,4680.14,0.3,0.29,23,61,NO
Customer Success,Bali,2017Q4,7007.92,5575.59,0.22,0.22,59,284,YES
Sales Training,Jawa,2017Q4,756.29,5041.67,0.42,0.27,6,31,NO
Strategic Partnerships,Sumatra,2017Q4,7568.18,4643.06,0.44,0.3,58,105,YES
Sales Support,Kalimantan,2017Q4,5348.07,4775.85,0.44,0.33,38,122,YES
Retail Sales,Papua,2017Q4,7359.9,6055.16,0.16,0.22,63,293,YES
E-commerce Sales,Sulawesi,2017Q4,1826.4,7404.28,0.23,0.3,15,76,NO
Enterprise Sales,NTB,2017Q4,4765.54,3875.89,0.25,0.15,36,204,YES
International Sales,Bali,2017Q4,7190.87,4537.02,0.37,0.28,57,297,YES
Sales Administration,Jawa,2017Q4,351.91,834.12,0.31,0.4,2,7,NO
Sales Engineering,Sumatra,2017Q4,1239.16,1275.05,0.36,0.45,11,39,NO
Sales Operations,Kalimantan,2017Q4,2953.74,6611.96,0.18,0.23,24,94,NO
Inside Sales,Papua,2017Q4,6136.73,4332.36,0.22,0.19,52,264,YES
Outside Sales,Sulawesi,2017Q4,3195.62,4587.83,0.19,0.18,26,80,NO
Account Management,NTB,2017Q4,2094.24,2561.36,0.19,0.16,14,67,NO
Business Development,Bali,2017Q4,684.92,2685.63,0.11,0.2,4,13,NO
Sales Enablement,Jawa,2017Q4,1192.87,1317.93,0.68,0.46,10,49,NO
Channel Sales,Sumatra,2017Q4,2264.07,2443.81,0.62,0.5,18,48,NO
Key Accounts,Kalimantan,2017Q4,6052.48,4782.07,0.2,0.33,47,97,YES
Sales Analytics,Papua,2017Q4,902.36,5863.22,0.43,0.26,5,22,NO
Customer Success,Sulawesi,2017Q4,7043.82,5451.31,0.23,0.23,51,212,YES
Sales Training,NTB,2017Q4,1403.29,6073.85,0.18,0.34,8,40,NO
Strategic Partnerships,Bali,2017Q4,5171.04,3316.29,0.22,0.34,44,115,YES
Sales Support,Jawa,2017Q4,3781.81,3659.53,0.43,0.36,29,152,YES
Retail Sales,Sumatra,2017Q4,4239.62,6324.75,0.22,0.19,28,160,NO
E-commerce Sales,Kalimantan,2017Q4,6720.94,3452.9,0.35,0.32,54,229,YES
Enterprise Sales,Papua,2017Q4,478.27,5010.65,0.15,0.17,2,5,NO
International Sales,Sulawesi,2017Q4,1572.34,5047.5,0.22,0.22,11,19,NO
Sales Administration,NTB,2017Q4,152.84,1651,0.36,0.45,3,13,NO
Sales Engineering,Bali,2017Q4,1790.32,764.9,0.32,0.38,11,53,YES
Sales Operations,Jawa,2017Q4,2792.68,4534.88,0.26,0.18,20,82,NO
Inside Sales,Sumatra,2017Q4,6357.69,2595.77,0.17,0.21,53,164,YES
Outside Sales,Kalimantan,2017Q4,5470.36,4423.16,0.14,0.22,42,82,YES
Account Management,Papua,2017Q4,474.72,1617.98,0.2,0.17,3,9,NO
Business Development,Sulawesi,2017Q4,364.64,1327.52,0.11,0.2,3,14,NO
Sales Enablement,NTB,2017Q4,2001.77,787.95,0.72,0.58,17,59,YES
Channel Sales,Bali,2017Q4,1599.67,1118.46,0.68,0.5,14,56,YES
Key Accounts,Jawa,2017Q4,4558.82,6533.06,0.14,0.25,35,99,NO
Sales Analytics,Sumatra,2017Q4,3045.28,4536.99,0.11,0.24,23,44,NO
Customer Success,Kalimantan,2017Q4,1343.38,3137.54,0.28,0.24,9,44,NO
Sales Training,Papua,2017Q4,8838.23,7102.7,0.45,0.31,75,231,YES
Strategic Partnerships,Sulawesi,2017Q4,7268.56,4656.27,0.14,0.3,65,279,YES
Sales Support,NTB,2017Q4,2271.73,7067.81,0.47,0.3,20,105,NO
Retail Sales,Bali,2017Q4,5523.18,2283.13,0.25,0.22,42,175,YES
E-commerce Sales,Jawa,2017Q4,9139.45,4126.9,0.25,0.29,82,475,YES
Enterprise Sales,Sumatra,2017Q4,4908.11,4418.14,0.15,0.14,36,109,YES
International Sales,Kalimantan,2017Q4,7773.15,5239.35,0.38,0.3,65,192,YES
Sales Administration,Papua,2017Q4,2017.18,1788.88,0.52,0.49,16,40,YES
Sales Engineering,Sulawesi,2017Q4,1566.56,1805.67,0.54,0.45,11,29,NO
Sales Operations,NTB,2017Q4,8335.28,4574.13,0.1,0.18,72,241,YES
Inside Sales,Bali,2017Q4,1874.74,3074.9,0.3,0.19,14,35,NO
Outside Sales,Jawa,2017Q4,4630.25,4382.21,0.15,0.19,34,94,YES
Account Management,Sumatra,2017Q4,3249.56,3665.78,0.24,0.2,26,102,NO
Business Development,Kalimantan,2017Q4,5939.22,1615.54,0.23,0.18,46,179,YES
Sales Enablement,Papua,2017Q4,2057.66,842.5,0.5,0.5,16,86,YES
Channel Sales,Sulawesi,2017Q4,1375.76,781.21,0.54,0.54,8,27,YES
Key Accounts,NTB,2017Q4,3455.93,6814.89,0.31,0.24,30,99,NO
Sales Analytics,Bali,2017Q4,2444.3,2622.67,0.42,0.29,18,84,NO
Customer Success,Jawa,2017Q4,1526.9,4720.33,0.33,0.25,11,49,NO
Sales Training,Sumatra,2017Q4,6698.2,5595.21,0.31,0.31,52,261,YES
Strategic Partnerships,Kalimantan,2017Q4,4578.18,4001.79,0.26,0.38,39,164,YES
Sales Support,Papua,2017Q4,5053.67,3902.99,0.25,0.34,40,226,YES
Retail Sales,Sulawesi,2017Q4,6225.41,5400.16,0.23,0.18,45,97,YES
E-commerce Sales,NTB,2017Q4,10913.72,4628.19,0.26,0.28,94,175,YES
Enterprise Sales,Bali,2017Q4,2483.06,2892.12,0.19,0.21,15,41,NO
International Sales,Jawa,2017Q4,5788.79,5025.9,0.18,0.26,46,205,YES
Sales Administration,Sumatra,2017Q4,2493.29,1240.16,0.68,0.49,16,65,YES
Sales Engineering,Kalimantan,2017Q4,862.68,674.18,0.29,0.47,3,9,YES
Sales Operations,Papua,2017Q4,4526.93,6881.47,0.24,0.17,39,178,NO
Inside Sales,Sulawesi,2017Q4,9035.08,5063.64,0.19,0.23,72,411,YES
Outside Sales,NTB,2017Q4,7325.16,4913.88,0.14,0.22,58,221,YES
Account Management,Bali,2017Q4,5858.81,3859.21,0.22,0.17,47,257,YES
Business Development,Jawa,2017Q4,1339.96,4960.76,0.17,0.17,10,24,NO
Sales Enablement,Sumatra,2017Q4,1469,849.92,0.4,0.52,8,33,YES
Channel Sales,Kalimantan,2017Q4,2623.52,1596.28,0.26,0.5,20,97,YES
Key Accounts,Papua,2017Q4,9733.05,4278.51,0.18,0.3,76,339,YES
Sales Analytics,Sulawesi,2017Q4,1852.5,7221.53,0.29,0.33,15,30,NO
Customer Success,NTB,2017Q4,2861.86,1516.26,0.33,0.27,22,92,YES
Sales Training,Bali,2017Q4,8130.24,6570.78,0.33,0.34,64,130,YES
Strategic Partnerships,Jawa,2017Q4,8606.46,3905.7,0.33,0.35,75,321,YES
Sales Support,Sumatra,2017Q4,4255.5,2744.64,0.48,0.33,29,58,YES
Retail Sales,Kalimantan,2017Q4,8655.64,4983.91,0.11,0.18,75,195,YES
E-commerce Sales,Papua,2017Q4,2026.64,3306.66,0.35,0.31,17,72,NO
Enterprise Sales,Sulawesi,2017Q4,4595.17,3022.43,0.13,0.17,34,74,YES
International Sales,NTB,2017Q4,2100.61,4925.65,0.4,0.24,16,52,NO
Sales Administration,Bali,2017Q4,1999.93,888.78,0.7,0.49,15,66,YES
Sales Engineering,Jawa,2017Q4,1381.64,1727.74,0.63,0.4,9,37,NO
Sales Operations,Sumatra,2017Q4,2886.74,4610.15,0.25,0.21,23,88,NO
Inside Sales,Kalimantan,2017Q4,9454.49,4414.35,0.14,0.23,78,455,YES
Outside Sales,Papua,2017Q4,3652.06,5701.97,0.09,0.2,28,48,NO
Account Management,Sulawesi,2017Q4,1466.04,4502.23,0.09,0.15,9,40,NO
Business Development,NTB,2017Q4,2564.58,3931.3,0.21,0.14,20,93,NO
Sales Enablement,Bali,2017Q4,431.73,2105.42,0.76,0.5,2,3,NO
Channel Sales,Jawa,2017Q4,2831.18,1172.32,0.22,0.5,22,46,YES
Key Accounts,Sumatra,2017Q4,7830.03,3093.13,0.29,0.25,64,141,YES
Sales Analytics,Kalimantan,2017Q4,1267.01,7482.59,0.17,0.3,9,49,NO
Customer Success,Papua,2017Q4,2983.52,4941.03,0.17,0.25,23,55,NO
Sales Training,Sulawesi,2017Q4,8187.93,5159.48,0.3,0.35,65,291,YES
Strategic Partnerships,NTB,2017Q4,3755,2983.65,0.3,0.39,27,104,YES
Sales Support,Bali,2017Q4,3907.38,5656.1,0.27,0.33,33,144,NO
Retail Sales,Jawa,2017Q4,3975.44,4263.24,0.19,0.17,34,111,NO
E-commerce Sales,Sumatra,2017Q4,6062.1,3649.51,0.14,0.24,46,156,YES
Enterprise Sales,Kalimantan,2017Q4,5734.24,4485.23,0.23,0.18,45,197,YES
International Sales,Papua,2017Q4,722.62,2258.9,0.28,0.29,3,12,NO
Sales Administration,Sulawesi,2017Q4,893.79,1248.65,0.34,0.47,9,43,NO
Sales Engineering,NTB,2017Q4,1226.71,1790.81,0.68,0.41,10,30,NO
Sales Operations,Bali,2017Q4,6819.11,5497.7,0.18,0.22,58,141,YES
Inside Sales,Jawa,2017Q4,8425.67,6656.4,0.14,0.24,72,332,YES
Outside Sales,Sumatra,2017Q4,2001.87,5707.47,0.31,0.22,16,56,NO
Account Management,Kalimantan,2017Q4,4777.89,4850.31,0.21,0.15,36,82,NO
Business Development,Papua,2017Q4,2678.46,3741.12,0.24,0.18,23,106,NO
Sales Enablement,Sulawesi,2017Q4,601.47,2250.56,0.5,0.6,6,18,NO
Channel Sales,NTB,2017Q4,1263.99,2492.05,0.6,0.44,10,51,NO
Key Accounts,Bali,2017Q4,8142.78,6913.53,0.42,0.3,68,218,YES
Sales Analytics,Jawa,2017Q4,8909.83,2871.73,0.28,0.31,69,255,YES
Customer Success,Sumatra,2017Q4,3179.29,5496.36,0.13,0.28,23,101,NO
Sales Training,Kalimantan,2017Q4,6982.52,7246.02,0.44,0.29,52,94,NO
Strategic Partnerships,Papua,2017Q4,2854.44,5565.5,0.26,0.29,22,40,NO
Sales Support,Sulawesi,2017Q4,4004.4,7057.11,0.36,0.36,32,72,NO
Retail Sales,NTB,2017Q4,5272.8,5906.46,0.11,0.18,42,236,NO
E-commerce Sales,Bali,2017Q4,6936.97,3867.49,0.43,0.31,56,283,YES
Enterprise Sales,Jawa,2017Q4,3289.42,2322.85,0.2,0.17,26,104,YES
International Sales,Sumatra,2017Q4,3039.02,2367.81,0.21,0.28,26,55,YES
Sales Administration,Kalimantan,2017Q4,812.89,1901.89,0.23,0.38,4,8,NO
Sales Engineering,Papua,2017Q4,2152.74,1308.87,0.65,0.52,15,60,YES
Sales Operations,Sulawesi,2017Q4,3369.76,2836.5,0.3,0.18,30,131,YES
Inside Sales,NTB,2017Q4,9190.2,5290.19,0.11,0.18,78,432,YES
Outside Sales,Bali,2017Q4,7875.98,5063.73,0.1,0.21,65,239,YES
Account Management,Jawa,2017Q4,3240.81,4994.34,0.16,0.16,26,137,NO
Business Development,Sumatra,2017Q4,827.45,4323.17,0.13,0.17,6,11,NO
Sales Enablement,Kalimantan,2017Q4,345.69,1390.61,0.28,0.4,2,7,NO
Channel Sales,Papua,2017Q4,325.48,1934.68,0.34,0.44,2,4,NO
Key Accounts,Sulawesi,2017Q4,3107.87,2376.86,0.14,0.24,26,52,YES
Sales Analytics,NTB,2017Q4,2041.21,3268.3,0.24,0.24,15,83,NO
Customer Success,Bali,2017Q4,4095.43,5234.9,0.22,0.23,29,160,NO
Sales Training,Jawa,2017Q4,9365.36,2131.52,0.35,0.39,81,191,YES
Strategic Partnerships,Sumatra,2017Q4,6873.16,4585.48,0.17,0.33,51,150,YES
Sales Support,Kalimantan,2017Q4,8026.37,3990.46,0.42,0.31,72,323,YES
Retail Sales,Papua,2017Q4,4681.48,5119.4,0.25,0.17,36,86,NO
E-commerce Sales,Sulawesi,2017Q4,4730.73,7812.76,0.28,0.22,34,136,NO
Enterprise Sales,NTB,2017Q4,3947.93,4583.52,0.15,0.14,33,188,NO
International Sales,Bali,2017Q4,2475.27,3604.33,0.34,0.22,20,96,NO
Sales Administration,Jawa,2017Q4,666,1754.6,0.27,0.5,4,20,NO
Sales Engineering,Sumatra,2017Q4,1831.25,1707.32,0.32,0.43,16,41,YES
Sales Operations,Kalimantan,2017Q4,2958.26,4780.45,0.1,0.16,26,147,NO
Inside Sales,Papua,2017Q4,6871.9,5277.41,0.14,0.22,57,286,YES
Outside Sales,Sulawesi,2017Q4,3783.08,6454.37,0.27,0.21,29,96,NO
Account Management,NTB,2017Q4,6884.84,4092.7,0.23,0.18,50,133,YES
Business Development,Bali,2017Q4,1735.52,1804.12,0.24,0.21,14,65,NO
Sales Enablement,Jawa,2017Q4,2532.33,1806.98,0.6,0.42,22,57,YES
Channel Sales,Sumatra,2017Q4,306.78,2326.41,0.54,0.42,2,7,NO
Key Accounts,Kalimantan,2017Q4,4524.65,5311.14,0.3,0.28,38,125,NO
Sales Analytics,Papua,2017Q4,318.89,3692.95,0.15,0.25,3,12,NO
Customer Success,Sulawesi,2017Q4,2061.59,4024.92,0.29,0.24,15,61,NO
Sales Training,NTB,2017Q4,1587.74,6783.93,0.51,0.31,14,72,NO
Strategic Partnerships,Bali,2017Q4,222.06,2850.49,0.3,0.35,2,3,NO
Sales Support,Jawa,2017Q4,7836.85,4963.06,0.33,0.31,57,197,YES
Retail Sales,Sumatra,2017Q4,2751.42,1782.24,0.29,0.23,23,48,YES
E-commerce Sales,Kalimantan,2017Q4,2726.22,6689.3,0.23,0.24,20,79,NO
Enterprise Sales,Papua,2017Q4,3653.19,2454.8,0.21,0.18,28,83,YES
International Sales,Sulawesi,2017Q4,786.95,3203.65,0.23,0.29,6,15,NO
Sales Administration,NTB,2017Q4,938.38,631.7,0.34,0.52,8,32,YES
Sales Engineering,Bali,2017Q4,1077.48,833.13,0.56,0.41,9,45,YES
Sales Operations,Jawa,2017Q4,415.4,2572.59,0.1,0.16,3,11,NO
Inside Sales,Sumatra,2017Q4,7710.61,2186.41,0.3,0.18,65,178,YES
Outside Sales,Kalimantan,2017Q4,982.56,3440.89,0.2,0.21,9,30,NO
Account Management,Papua,2017Q4,5074.2,3497.62,0.07,0.15,45,228,YES
Business Development,Sulawesi,2017Q4,5784.49,4648.71,0.17,0.17,48,149,YES
Sales Enablement,NTB,2017Q4,1789.72,2314.05,0.62,0.44,11,60,NO
Channel Sales,Bali,2017Q4,1273.42,1620.62,0.74,0.58,10,27,NO
Key Accounts,Jawa,2017Q4,3505.23,2799.63,0.41,0.3,27,49,YES
Sales Analytics,Sumatra,2017Q4,254,2579.82,0.24,0.28,3,12,NO
Customer Success,Kalimantan,2017Q4,1946.94,4181.44,0.27,0.23,14,24,NO
Sales Training,Papua,2017Q4,2603.89,4035.2,0.23,0.36,23,59,NO
Strategic Partnerships,Sulawesi,2017Q4,4772.02,6548.62,0.31,0.38,35,84,NO
Sales Support,NTB,2017Q4,4590.43,2212.56,0.29,0.29,39,70,YES
Retail Sales,Bali,2017Q4,3201.7,6674.41,0.28,0.23,26,63,NO
E-commerce Sales,Jawa,2017Q4,8900.25,4768.13,0.32,0.31,68,367,YES
Enterprise Sales,Sumatra,2017Q4,6027.57,3780.63,0.17,0.15,48,214,YES
International Sales,Kalimantan,2017Q4,1914.18,2204.84,0.27,0.24,17,83,NO
Sales Administration,Papua,2017Q4,2305.83,1600.65,0.36,0.5,15,44,YES
Sales Engineering,Sulawesi,2017Q4,1410.85,1985.79,0.72,0.41,8,24,NO
Sales Operations,NTB,2017Q4,7446.3,3294.58,0.14,0.2,57,222,YES
Inside Sales,Bali,2017Q4,575.8,3301.19,0.29,0.19,4,13,NO
Outside Sales,Jawa,2017Q4,7656.35,6101.73,0.21,0.24,64,298,YES
Account Management,Sumatra,2017Q4,2838.1,4625.87,0.24,0.15,22,123,NO
Business Development,Kalimantan,2017Q4,489.77,3606.84,0.24,0.2,2,3,NO
Sales Enablement,Papua,2017Q4,1324.08,1774.97,0.74,0.56,10,56,NO
Channel Sales,Sulawesi,2017Q4,1511.91,876.15,0.26,0.5,12,33,YES
Key Accounts,NTB,2017Q4,11014.3,4874.63,0.21,0.26,87,498,YES
Sales Analytics,Bali,2017Q4,3357.89,6510.76,0.25,0.28,28,74,NO
Customer Success,Jawa,2017Q4,4123.25,4853.88,0.15,0.24,34,185,NO
Sales Training,Sumatra,2017Q4,6016.09,3534.58,0.26,0.38,44,208,YES
Strategic Partnerships,Kalimantan,2017Q4,7064.22,6130.12,0.35,0.34,56,111,YES
Sales Support,Papua,2017Q4,2793.46,5720.53,0.34,0.3,20,72,NO
Retail Sales,Sulawesi,2017Q4,4062.63,6097.33,0.17,0.21,28,135,NO
E-commerce Sales,NTB,2017Q4,6705.78,7593.28,0.43,0.3,56,320,NO
Enterprise Sales,Bali,2017Q4,2983.02,2145.46,0.1,0.17,24,134,YES
International Sales,Jawa,2017Q4,4404.17,1585.89,0.33,0.24,35,86,YES
Sales Administration,Sumatra,2017Q4,1249.83,1193.8,0.5,0.45,9,38,YES
Sales Engineering,Kalimantan,2017Q4,2110.29,814.15,0.49,0.5,15,35,YES
Sales Operations,Papua,2017Q4,1519.43,2883.1,0.19,0.18,11,20,NO
Inside Sales,Sulawesi,2017Q4,7128.55,5661.62,0.18,0.22,63,299,YES
Outside Sales,NTB,2017Q4,969.67,6633.89,0.26,0.24,8,22,NO
Account Management,Bali,2017Q4,991.81,3449.56,0.16,0.15,8,25,NO
Business Development,Jawa,2017Q4,5679.14,2877.9,0.27,0.19,51,132,YES
Sales Enablement,Sumatra,2017Q4,652.41,1040.14,0.34,0.54,5,19,NO
Channel Sales,Kalimantan,2017Q4,2781.29,748.87,0.28,0.52,23,106,YES
Key Accounts,Papua,2017Q4,10315.87,3541.49,0.23,0.31,76,398,YES
Sales Analytics,Sulawesi,2017Q4,9067.42,7396.29,0.39,0.33,75,136,YES
Customer Success,NTB,2017Q4,3082.13,5694.81,0.18,0.22,26,73,NO
Sales Training,Bali,2017Q4,9458.28,4111.8,0.26,0.27,86,476,YES
Strategic Partnerships,Jawa,2017Q4,3634.55,4891.65,0.29,0.36,30,71,NO
Sales Support,Sumatra,2017Q4,6240.2,2379.37,0.33,0.29,42,228,YES
Retail Sales,Kalimantan,2017Q4,6848.35,1979.74,0.27,0.23,59,293,YES
E-commerce Sales,Papua,2017Q4,3085.43,5227.88,0.39,0.25,23,52,NO
Enterprise Sales,Sulawesi,2017Q4,3850.7,4328.15,0.14,0.15,28,128,NO
International Sales,NTB,2017Q4,7623.32,4169.16,0.33,0.25,58,150,YES
Sales Administration,Bali,2017Q4,77.08,756.09,0.38,0.41,3,6,NO
Sales Engineering,Jawa,2017Q4,440.06,1716.87,0.36,0.54,2,5,NO
Sales Operations,Sumatra,2017Q4,4000.42,6877.56,0.31,0.19,28,82,NO
Inside Sales,Kalimantan,2017Q4,7644.43,4214.61,0.29,0.24,60,194,YES
Outside Sales,Papua,2017Q4,5311.01,5033,0.18,0.19,40,150,YES
Account Management,Sulawesi,2017Q4,4879.66,1459.47,0.22,0.21,34,112,YES
Business Development,NTB,2017Q4,1310.82,2264.53,0.08,0.17,10,42,NO
Sales Enablement,Bali,2017Q4,3220.95,828.85,0.78,0.58,24,81,YES
Channel Sales,Jawa,2017Q4,2025,2522.91,0.76,0.6,16,68,NO
Key Accounts,Sumatra,2017Q4,8646.02,6018.77,0.29,0.28,72,183,YES
Sales Analytics,Kalimantan,2017Q4,5911.33,4943.45,0.42,0.28,42,197,YES
Customer Success,Papua,2017Q4,1722.4,4885.55,0.12,0.28,14,29,NO
Sales Training,Sulawesi,2017Q4,8330.52,5058.43,0.44,0.29,66,179,YES
Strategic Partnerships,NTB,2017Q4,8450.47,4533.36,0.39,0.31,68,176,YES
Sales Support,Bali,2017Q4,3224.06,4270.65,0.22,0.36,23,125,NO
Retail Sales,Jawa,2017Q4,5229.39,4354.01,0.19,0.16,40,213,YES
E-commerce Sales,Sumatra,2017Q4,1057.08,2265.94,0.29,0.25,6,22,NO
Enterprise Sales,Kalimantan,2017Q4,4921.92,1879.44,0.08,0.19,38,137,YES
International Sales,Papua,2017Q4,5825.32,4274.28,0.1,0.27,44,149,YES
Sales Administration,Sulawesi,2017Q4,1381.54,953.9,0.68,0.38,11,56,YES
Sales Engineering,NTB,2017Q4,799.99,1257.41,0.25,0.52,4,14,NO
Sales Operations,Bali,2017Q4,808.72,6230.02,0.14,0.19,6,15,NO
Inside Sales,Jawa,2017Q4,8332.43,3384.48,0.26,0.22,72,130,YES
Outside Sales,Sumatra,2017Q4,3490.14,3831.42,0.24,0.19,30,52,NO
Account Management,Kalimantan,2017Q4,2059.57,4504.52,0.12,0.19,16,62,NO
Business Development,Papua,2017Q4,517.32,3374.34,0.23,0.16,2,6,NO
Sales Enablement,Sulawesi,2017Q4,1964.35,2473.13,0.32,0.4,15,70,NO
Channel Sales,NTB,2017Q4,3450.6,1634.95,0.5,0.58,29,100,YES
Key Accounts,Bali,2017Q4,7700.1,3323.38,0.29,0.29,65,211,YES
Sales Analytics,Jawa,2017Q4,4841.87,6827.9,0.4,0.25,35,164,NO
Customer Success,Sumatra,2017Q4,7747.56,2103.25,0.14,0.25,60,235,YES
Sales Training,Kalimantan,2017Q4,2895.25,5599.11,0.26,0.35,20,101,NO
